Date,Alaska,Colorado,Arkansas,Arizona,Guam,Iowa
2020-10-07,9885,74922,88880,222538,2868,95093
2020-10-08,10025,75785,90145,223401,2934,96657
2020-10-09,10214,76619,91312,224084,2989,97881
2020-10-10,10447,77642,92220,224978,2989,99042
2020-10-11,10697,78461,92833,225575,2989,99943
2020-10-12,10893,79037,93487,226050,3170,100453
2020-10-13,11052,80085,94167,226734,3266,101422
2020-10-14,11220,80777,95246,227635,3341,102904
2020-10-15,11390,81918,96524,228748,3427,104056
2020-10-16,11614,83230,97539,229486,3538,105746
2020-10-17,11824,84369,98422,230459,3538,106698
2020-10-18,12038,85302,99066,231149,3538,107334
2020-10-19,12242,86374,99597,231897,3756,108060
2020-10-20,12475,87582,100441,232937,3886,109202
2020-10-21,12699,88849,101596,233912,3968,110250
2020-10-22,12936,90222,102798,234906,4056,111733
2020-10-23,13188,91572,104135,235882,4141,113376
2020-10-24,13545,93400,105318,236772,4141,114836
2020-10-25,14070,95089,106115,238163,4141,116238
2020-10-26,14417,97300,106727,238964,4336,117198
2020-10-27,14798,98733,107679,240122,4418,118563
2020-10-28,15155,100208,108640,241165,4466,120635
2020-10-29,15522,102014,109712,242480,4549,122950
2020-10-30,15908,104426,110874,244045,4628,125722
2020-10-31,16355,107350,112190,245946,4628,128510
2020-11-01,16705,109910,113057,247473,4628,130974
2020-11-02,17057,112147,113641,248139,4628,132516
